ndvi,evi,b1mean,b2mean,b3mean,b4mean,LST,b1sr,b2sr,b3sr,b4sr,b5sr,b6sr,b7sr
0.831298568,0.649460892,2.46548439,32.77107459,22.6142476,2149.618598,302.0888231,0.045234985,0.440719672,0.023098766,0.060591121,0.384477595,0.228942812,0.096822076
0.825297787,0.65105363,2.791795515,33.83372739,22.006984,2642.4552,301.6425436,0.043698943,0.435867041,0.023189696,0.05863177,0.386082034,0.223695707,0.088636856
0.808114608,0.604169043,3.80676166,33.30525676,22.18727646,2673.801546,302.3088257,0.043778765,0.405146159,0.022714347,0.057398884,0.366666781,0.220037352,0.090689745
0.790371513,0.64926065,0.293732017,32.91828039,21.37099345,2520.146519,303.2193198,0.047452593,0.438513844,0.024240675,0.06013545,0.374248093,0.224662128,0.098467353
0.772240547,0.61080746,3.182889416,34.51576938,21.22951059,2484.150098,303.99536,0.049113706,0.404427522,0.024435197,0.060955482,0.381727632,0.242722697,0.108640789
0.798032203,0.650650835,2.891394433,32.61185768,21.9006749,2641.454483,302.5683256,0.053103417,0.45377934,0.027840683,0.068074394,0.392794418,0.240458224,0.107809178
0.840628814,0.656734664,3.699768418,32.76316186,22.25281432,2648.941311,302.3557579,0.046684508,0.439609018,0.024126197,0.061408188,0.380033474,0.227033746,0.099030209
0.835994221,0.643641198,2.96362389,32.79869548,22.54634247,2676.960368,302.0963861,0.040776793,0.430769534,0.021226815,0.054598529,0.375433484,0.219218954,0.08872297
0.826230971,0.644181957,3.270745623,33.10857373,22.40715914,2702.268486,301.5292977,0.042041378,0.428326779,0.021355931,0.056562089,0.381378422,0.221289872,0.088236405
0.704929987,0.542448666,2.89165117,34.23582044,21.26592355,2431.837085,305.2657895,0.059672877,0.372196226,0.02972217,0.067126651,0.362165802,0.250066981,0.124936557
0.722733781,0.579466511,0.660908983,32.78084273,21.64038827,2600.271627,304.0485111,0.063293891,0.429313835,0.032614245,0.073297228,0.384297202,0.250804261,0.124167248
0.769720641,0.599244554,2.291481694,32.75861507,21.84514362,2552.461815,303.6488551,0.065302637,0.415639535,0.033284426,0.075931131,0.384657564,0.259657053,0.1338294
0.816862446,0.637688296,3.190856854,33.01123597,22.52703158,2319.718878,303.0389017,0.04971432,0.431430814,0.025298923,0.064063744,0.38555403,0.238696397,0.107114227
0.719186306,0.534206051,1.700742289,35.79482492,23.1095168,2622.288969,307.1559524,0.062574048,0.379464533,0.031108304,0.06841782,0.359244464,0.246298097,0.121485121
0.820030951,0.63619458,3.040564663,32.89954791,22.4479795,2568.651174,303.0321142,0.050346326,0.43823786,0.025913677,0.063034661,0.393089844,0.241547485,0.108552221
0.813532633,0.633224718,2.702658236,32.86486921,22.65058489,2519.897914,302.9422433,0.04944952,0.43510168,0.02535344,0.062046107,0.386594053,0.235266133,0.10307
