COUNTYNS1,NAME,Yield
63755,Arkansas,3.1579255
63756,Ashley,3.04239
69160,Chicot,3.18179925
63759,Clay,3.180925
66846,Conway,2.583207
66847,Craighead,3.04514725
69162,Crittenden,3.14064225
66848,Cross,3.1377505
66850,Desha,2.99228875
66851,Drew,3.15543725
66852,Faulkner,2.66020825
66853,Franklin,2.81663175
66857,Greene,3.22497375
69163,Independence,2.63250125
66861,Jackson,2.680047
66862,Jefferson,3.07688925
66865,Lawrence,2.926182
66866,Lee,2.85698175
66873,Lincoln,3.12167775
69164,Lonoke,3.18462375
69899,Mississippi,3.10157
69167,Monroe,3.009841
69172,Phillips,3.04918225
69174,Poinsett,3.20587475
69176,Prairie,3.11737375
69177,Pulaski,2.7719105
69178,Randolph,3.03640475
69906,White,3.18448925
69907,Woodruff,2.52395975
69908,Yell,2.716093
424202,Adams,2.5782305
424203,Alexander,3.662166
424204,Bond,3.04474375
424205,Boone,3.928476
424206,Brown,3.1127335
424207,Bureau,3.67877675
424208,Calhoun,4.0488535
424209,Carroll,3.246561
424210,Cass,3.97911525
424211,Champaign,3.83708325
424212,Christian,4.106554
424213,Clark,4.1139515
424214,Clay,3.926324
424215,Clinton,3.0799155
424216,Coles,3.66263675
424218,Crawford,4.12101275
424219,Cumberland,3.71899225
426598,De Witt,3.808233
424222,Douglas,3.67205175
424224,Edgar,4.15894175
424225,Edwards,4.13701825
424226,Effingham,4.27945375
424227,Fayette,3.46290425
424228,Ford,3.950265
424229,Franklin,3.87898
424230,Fulton,3.96445475
424231,Gallatin,3.4110545
424232,Greene,3.8293495
424233,Grundy,3.65631525
424234,Hamilton,3.552683
424235,Hancock,3.70702175
424237,Henderson,3.7018435
424238,Henry,4.09680275
424239,Iroquois,4.02484525
424240,Jackson,4.0138835
424241,Jasper,3.67723
424242,Jefferson,3.16243125
424243,Jersey,3.94939075
424244,Jo Daviess,3.310045
424245,Johnson,3.692563
424246,Kane,3.66209875
424247,Kankakee,3.454498
424248,Kendall,3.23802025
424249,Knox,3.72168225
424252,Lawrence,3.64515175
424253,Lee,4.09236425
424254,Livingston,3.86613525
424255,Logan,3.5662675
424256,Macon,3.61206475
424257,Macoupin,3.9738025
424258,Madison,4.141793
424259,Marion,4.14401225
424260,Marshall,3.9853695
