COUNTYNS1,GEOID,NAME,Yield
63755,5001,Arkansas,3.1382885
63756,5003,Ashley,3.14454275
69160,5017,Chicot,2.83263725
63759,5021,Clay,3.157791
66846,5029,Conway,2.704526
66847,5031,Craighead,3.17958
66848,5037,Cross,3.1649195
66850,5041,Desha,2.96175725
66851,5043,Drew,2.87561
66852,5045,Faulkner,2.54991825
66857,5055,Greene,3.062565
66861,5067,Jackson,2.77628175
66862,5069,Jefferson,2.90217375
66865,5075,Lawrence,2.3829365
66866,5077,Lee,3.034051
66873,5079,Lincoln,3.057992
69899,5093,Mississippi,3.07514075
69167,5095,Monroe,2.72638225
69172,5107,Phillips,2.96538875
69174,5111,Poinsett,3.30782575
69176,5117,Prairie,3.1347915
69177,5119,Pulaski,2.75839325
69907,5147,Woodruff,2.957924
424202,17001,Adams,2.67836575
424204,17005,Bond,3.5450165
424205,17007,Boone,4.0862445
424206,17009,Brown,3.58919975
424207,17011,Bureau,3.60641575
424208,17013,Calhoun,3.70608025
424209,17015,Carroll,3.69733775
424210,17017,Cass,3.668622
424211,17019,Champaign,3.87326375
424212,17021,Christian,4.025585
424213,17023,Clark,4.152822
424214,17025,Clay,4.00803275
424215,17027,Clinton,3.81031775
424216,17029,Coles,3.89101775
424218,17033,Crawford,4.0329825
424219,17035,Cumberland,3.6663355
426598,17039,De Witt,4.01798575
424222,17041,Douglas,3.870372
424224,17045,Edgar,4.19108725
424225,17047,Edwards,3.99512075
424226,17049,Effingham,4.0122695
424227,17051,Fayette,3.10903475
424228,17053,Ford,3.79296725
424229,17055,Franklin,3.79713675
424230,17057,Fulton,3.6970015
424231,17059,Gallatin,3.46465275
424232,17061,Greene,3.65510475
424233,17063,Grundy,3.54494925
424234,17065,Hamilton,3.76821925
424235,17067,Hancock,3.5845595
424236,17069,Hardin,3.33647425
424237,17071,Henderson,3.82995475
424238,17073,Henry,2.9295445
424239,17075,Iroquois,3.71186375
424240,17077,Jackson,3.73957075
424241,17079,Jasper,3.6606865
424242,17081,Jefferson,3.242795
424246,17089,Kane,3.71885775
424247,17091,Kankakee,3.35174
424248,17093,Kendall,3.47379875
424249,17095,Knox,3.5740685
1784796,17097,Lake,3.307893
424252,17101,Lawrence,3.7725905
424253,17103,Lee,3.67756625
424254,17105,Livingston,2.47527075
424255,17107,Logan,3.42793425
424256,17115,Macon,3.642529
424257,17117,Macoupin,3.51253475
424258,17119,Madison,4.13621125
424259,17121,Marion,4.12060925
424260,17123,Marshall,4.0391695
1784729,17109,McDonough,3.86115875
1784815,17111,McHenry,4.13661475
1784833,17113,McLean,3.6883935
424266,17129,Menard,3.891892
1784750,17131,Mercer,3.5490515
1784865,17133,Monroe,3.97440775
1784866,17135,Montgomery,3.9937085
424270,17137,Morgan,3.6046
1784885,17139,Moultrie,3.68550175
1784894,17141,Ogle,4.08590825
1784920,17143,Peoria,4.0663385
1784940,17145,Perry,3.98651275
424275,17147,Piatt,3.64273075
1784941,17149,Pike,3.7612925
1784966,17153,Pulaski,3.43842525
1784967,17157,Randolph,4.2064875
424281,17159,Richland,3.53284425
424282,17161,Rock Island,3.04514725
424283,17165,Saline,3.6456225
1785010,17167,Sangamon,3.6972705
1785037,17169,Schuyler,3.542999
1785051,17173,Shelby,3.203521
1785076,17177,Stephenson,4.04555825
1785094,17179,Tazewell,3.7513395
1785114,17183,Vermilion,4.02094475
1785134,17187,Warren,3.87891275
1785150,17189,Washington,4.01475775
424296,17191,Wayne,3.95396375
424297,17193,White,3.890816
1785167,17195,Whiteside,3.6722535
1785190,17197,Will,3.65725675
1785215,17199,Williamson,3.62430425
1785216,17201,Winnebago,3.66236775
1785231,17203,Woodford,3.3142145
450401,18001,Adams,3.0344545
450402,18003,Allen,3.600834
451683,18005,Bartholomew,3.72491025
450403,18007,Benton,3.68482925
450404,18009,Blackford,3.5035905
450405,18011,Boone,3.81959825
450406,18015,Carroll,3.75988025
450339,18017,Cass,3.848045
450340,18019,Clark,3.79350525
450341,18021,Clay,3.8705065
450342,18023,Clinton,3.73593925
451674,18025,Crawford,3.394242
450343,18027,Daviess,3.627734
450344,18029,Dearborn,3.803122
450345,18031,Decatur,3.191685
450347,18035,Delaware,3.6101145
451675,18037,Dubois,3.1264525
450348,18039,Elkhart,3.19659425
450349,18041,Fayette,3.83748675
450352,18047,Franklin,3.5017075
450353,18049,Fulton,3.53647575
450354,18051,Gibson,3.28872675
450355,18053,Grant,3.747708
451676,18055,Greene,3.62269025
450356,18057,Hamilton,3.550531
450357,18059,Hancock,3.2924255
