COUNTYNS1,GEOID,county,Yield
63756,5003,ASHLEY,3.24366925
69160,5017,CHICOT,2.7947755
63759,5021,CLAY,3.033513
66847,5031,CRAIGHEAD,3.0995525
69162,5035,CRITTENDEN,3.13203425
66848,5037,CROSS,3.12288825
66850,5041,DESHA,3.040507
66851,5043,DREW,3.08643875
66857,5055,GREENE,3.04689575
69163,5063,INDEPENDENCE,3.223158
66861,5067,JACKSON,2.7659925
66862,5069,JEFFERSON,2.71373925
66865,5075,LAWRENCE,2.8978025
66873,5079,LINCOLN,2.99363375
66874,5081,LITTLE RIVER,2.8483065
69164,5085,LONOKE,1.8271825
69899,5093,MISSISSIPPI,2.845751
69167,5095,MONROE,3.10930375
69174,5111,POINSETT,2.9817305
69176,5117,PRAIRIE,2.936404
69178,5121,RANDOLPH,3.03344575
69906,5145,WHITE,3.10096475
69907,5147,WOODRUFF,2.70190325
424202,17001,ADAMS,2.95731875
424204,17005,BOND,2.7501215
424205,17007,BOONE,2.85106375
424206,17009,BROWN,3.23344725
424207,17011,BUREAU,3.07016425
424208,17013,CALHOUN,3.0594715
424209,17015,CARROLL,3.12450225
424211,17019,CHAMPAIGN,3.796935
424214,17025,CLAY,3.220199
424215,17027,CLINTON,2.49329375
424216,17029,COLES,3.18099225
424218,17033,CRAWFORD,3.20305025
424219,17035,CUMBERLAND,2.9779645
424222,17041,DOUGLAS,3.034589
424224,17045,EDGAR,3.28348125
424226,17049,EFFINGHAM,3.65187675
424227,17051,FAYETTE,2.97049975
424228,17053,FORD,2.8249035
424229,17055,FRANKLIN,3.06639825
424230,17057,FULTON,2.683275
424231,17059,GALLATIN,2.936942
424232,17061,GREENE,2.8865045
424233,17063,GRUNDY,3.7688245
424236,17069,HARDIN,2.86801075
424238,17073,HENRY,2.979713
424239,17075,IROQUOIS,3.16148975
424240,17077,JACKSON,3.04084325
424241,17079,JASPER,2.5725815
424242,17081,JEFFERSON,2.952006
424243,17083,JERSEY,2.379843
424244,17085,JO DAVIESS,3.75409675
424246,17089,KANE,3.56156
424247,17091,KANKAKEE,3.03479075
424248,17093,KENDALL,3.0465595
424249,17095,KNOX,2.48764475
1784796,17097,LAKE,3.0764185
424252,17101,LAWRENCE,2.11427275
424253,17103,LEE,2.912463
424254,17105,LIVINGSTON,3.051805
424256,17115,MACON,2.823962
424257,17117,MACOUPIN,3.26411325
424258,17119,MADISON,3.4546325
424259,17121,MARION,3.1514695
424260,17123,MARSHALL,2.58475375
424261,17125,MASON,3.0387585
1784730,17127,MASSAC,3.05187225
1784729,17109,MCDONOUGH,2.59376525
1784833,17113,MCLEAN,3.02887275
424266,17129,MENARD,3.1318325
1784750,17131,MERCER,3.418183
1784865,17133,MONROE,3.20681625
1784866,17135,MONTGOMERY,3.0379515
424270,17137,MORGAN,3.5234965
1784885,17139,MOULTRIE,3.65725675
1784894,17141,OGLE,3.05536925
1784920,17143,PEORIA,3.23573375
1784940,17145,PERRY,2.99080925
1784966,17153,PULASKI,2.5637045
1784967,17157,RANDOLPH,2.8867735
1785010,17167,SANGAMON,2.6866375
1785051,17173,SHELBY,3.417645
424288,17175,STARK,2.85778875
1785076,17177,STEPHENSON,3.385096
1785094,17179,TAZEWELL,3.804198
1785113,17181,UNION,3.14118025
1785134,17187,WARREN,2.50647475
1785150,17189,WASHINGTON,3.20843025
424296,17191,WAYNE,2.8582595
424297,17193,WHITE,2.5771545
1785190,17197,WILL,3.04326425
1785216,17201,WINNEBAGO,2.80909975
1785231,17203,WOODFORD,3.62881
450401,18001,ADAMS,3.098611
450402,18003,ALLEN,2.59047
450403,18007,BENTON,2.7974655
450404,18009,BLACKFORD,3.740176
450405,18011,BOONE,2.67984525
450406,18015,CARROLL,2.42873375
450340,18019,CLARK,2.511922
450341,18021,CLAY,3.66788225
451674,18025,CRAWFORD,2.90351875
450343,18027,DAVIESS,2.65213825
450344,18029,DEARBORN,3.003116
450345,18031,DECATUR,2.668211
450347,18035,DELAWARE,2.95631
451675,18037,DUBOIS,2.55408775
450348,18039,ELKHART,2.8846215
450349,18041,FAYETTE,2.96807875
450350,18043,FLOYD,3.4304225
450352,18047,FRANKLIN,2.68952925
450353,18049,FULTON,3.034589
450354,18051,GIBSON,3.17440175
450356,18057,HAMILTON,2.99336475
450357,18059,HANCOCK,2.3119205
451677,18061,HARRISON,2.606879
450358,18063,HENDRICKS,2.826652
450359,18065,HENRY,2.94830725
450360,18067,HOWARD,3.02685525
450361,18069,HUNTINGTON,3.0070165
450362,18075,JAY,2.8983405
450363,18077,JEFFERSON,2.57816325
450364,18079,JENNINGS,2.42375725
450365,18081,JOHNSON,2.28804675
450367,18085,KOSCIUSKO,2.831225
450368,18087,LAGRANGE,3.18771725
450495,18089,LAKE,3.048846
450370,18095,MADISON,3.01549
450371,18097,MARION,2.82012875
451679,18101,MARTIN,2.6583925
450373,18103,MIAMI,2.59403425
450374,18107,MONTGOMERY,2.6129315
450376,18111,NEWTON,2.91400975
450377,18113,NOBLE,3.0029815
450378,18115,OHIO,3.015221
451681,18117,ORANGE,3.073056
450380,18121,PARKE,2.96054675
451682,18123,PERRY,2.9464915
450381,18125,PIKE,3.19901525
450382,18127,PORTER,2.7667995
450383,18129,POSEY,2.7845535
446852,18131,PULASKI,3.27339375
450384,18133,PUTNAM,3.19941875
446853,18135,RANDOLPH,3.07581325
450385,18137,RIPLEY,3.1990825
446854,18139,RUSH,2.7022395
450387,18145,SHELBY,2.3961175
450388,18147,SPENCER,3.39188825
450391,18153,SULLIVAN,3.03667375
450393,18157,TIPPECANOE,3.161288
450394,18159,TIPTON,2.995584
450395,18161,UNION,3.0624305
450396,18163,VANDERBURGH,2.967339
450397,18165,VERMILLION,3.60412925
450398,18167,VIGO,3.221006
450399,18169,WABASH,3.266198
450400,18171,WARREN,2.8676745
450335,18173,WARRICK,2.87756025
451665,18175,WASHINGTON,3.7029195
450336,18177,WAYNE,3.09612275
450338,18181,WHITE,2.8434645
450369,18183,WHITLEY,3.19054175
465190,19001,ADAIR,3.3155595
465194,19009,AUDUBON,3.1971995
465195,19011,BENTON,2.965994
465196,19013,BLACK HAWK,2.95893275
465197,19015,BOONE,3.116096
465198,19017,BREMER,3.31280225
465199,19019,BUCHANAN,3.21515525
465200,19021,BUENA VISTA,3.72047175
465201,19023,BUTLER,3.27070375
465202,19025,CALHOUN,3.21206175
465203,19027,CARROLL,3.351471
465204,19029,CASS,2.991549
465206,19033,CERRO GORDO,3.8115955
465207,19035,CHEROKEE,3.703592
465208,19037,CHICKASAW,3.261894
465625,19041,CLAY,3.79323625
465210,19043,CLAYTON,3.70217975
465211,19045,CLINTON,3.126049
465212,19047,CRAWFORD,3.73540125
465213,19049,DALLAS,3.2265205
465214,19051,DAVIS,3.802046
465217,19057,DES MOINES,3.594109
465218,19059,DICKINSON,3.03653925
465219,19061,DUBUQUE,2.930755
465221,19065,FAYETTE,3.3569855
465222,19067,FLOYD,3.69357175
465223,19069,FRANKLIN,3.800432
465225,19073,GREENE,3.3282025
465226,19075,GRUNDY,3.52437075
465227,19077,GUTHRIE,3.54225925
465228,19079,HAMILTON,3.56095475
465229,19081,HANCOCK,3.1969305
465230,19083,HARDIN,3.1829425
465232,19087,HENRY,3.7583335
465233,19089,HOWARD,3.2666015
465234,19091,HUMBOLDT,3.001771
465236,19095,IOWA,3.11750825
465238,19099,JASPER,3.47554725
465239,19101,JEFFERSON,2.9736605
465240,19103,JOHNSON,3.6894695
465241,19105,JONES,3.00183825
465242,19107,KEOKUK,2.69921325
465243,19109,KOSSUTH,3.325378
465244,19111,LEE,2.88979975
465245,19113,LINN,3.55880275
465246,19115,LOUISA,2.965725
465248,19119,LYON,3.23331275
465249,19121,MADISON,2.8101085
465250,19123,MAHASKA,3.0963245
465251,19125,MARION,2.95973975
465252,19127,MARSHALL,3.41932625
465254,19131,MITCHELL,3.3099105
465255,19133,MONONA,3.5845595
465256,19135,MONROE,2.92732525
465257,19137,MONTGOMERY,3.69801025
465258,19139,MUSCATINE,2.82214625
465260,19143,OSCEOLA,3.59350375
465261,19145,PAGE,2.860815
465262,19147,PALO ALTO,3.60614675
465265,19153,POLK,3.366804
465266,19155,POTTAWATTAMIE,3.441048
465267,19157,POWESHIEK,3.41421525
465269,19161,SAC,3.02080275
465270,19163,SCOTT,3.6292135
465271,19165,SHELBY,3.07352675
465272,19167,SIOUX,3.63923375
465273,19169,STORY,3.1985445
465274,19171,TAMA,3.78005525
465275,19173,TAYLOR,3.64770725
465276,19175,UNION,3.034589
465277,19177,VAN BUREN,3.067676
465278,19179,WAPELLO,2.8197925
465279,19181,WARREN,2.84541475
465280,19183,WASHINGTON,2.86437925
465281,19185,WAYNE,3.15355425
465282,19187,WEBSTER,3.1923575
465283,19189,WINNEBAGO,3.083547
465284,19191,WINNESHIEK,2.58502275
465285,19193,WOODBURY,3.1565805
465286,19195,WORTH,3.4661995
465287,19197,WRIGHT,3.6614935
484971,20003,ANDERSON,3.86008275
484972,20005,ATCHISON,3.01300175
484973,20007,BARBER,3.3497225
484974,20009,BARTON,2.24043375
484975,20011,BOURBON,2.952544
484976,20013,BROWN,1.736126
484977,20015,BUTLER,2.34641975
484979,20019,CHAUTAUQUA,2.66195675
484980,20021,CHEROKEE,3.2477715
484983,20027,CLAY,2.1034455
484985,20031,COFFEY,2.16511375
484987,20035,COWLEY,2.72866875
484990,20041,DICKINSON,3.5665365
484992,20045,DOUGLAS,2.02617525
484994,20049,ELK,1.84150675
485326,20055,FINNEY,2.1203925
484999,20061,GEARY,2.4458825
485001,20069,GRAY,2.16349975
485004,20077,HARPER,3.798818
485005,20079,HARVEY,2.43909025
485328,20081,HASKELL,3.5283385
485007,20085,JACKSON,1.19926925
485008,20087,JEFFERSON,1.913128
485009,20089,JEWELL,3.8309635
485012,20095,KINGMAN,2.41138325
485016,20103,LEAVENWORTH,2.831494
485020,20111,LYON,2.77251575
485022,20115,MARION,1.42617075
485023,20117,MARSHALL,2.499279
485021,20113,MCPHERSON,2.4582565
485025,20121,MIAMI,1.820054
485026,20123,MITCHELL,2.6702285
485027,20125,MONTGOMERY,1.672642
485028,20127,MORRIS,2.55879525
485033,20139,OSAGE,2.33633225
485037,20147,PHILLIPS,2.222747
485038,20149,POTTAWATOMIE,2.18501975
485041,20155,RENO,2.26854425
485042,20157,REPUBLIC,2.649919
485044,20161,RILEY,2.6360655
485046,20167,RUSSELL,1.5737845
485047,20169,SALINE,2.69854075
