County,COUNTYNS1,Yield
ARKANSAS,63755,3.5283385
ASHLEY,63756,3.5425955
CHICOT,69160,3.4288085
CLAY,63759,2.884756
CONWAY,66846,2.7538875
CRAIGHEAD,66847,3.03371475
CRITTENDEN,69162,3.2709055
CROSS,66848,3.17319125
DESHA,66850,3.4497905
DREW,66851,3.46048325
FAULKNER,66852,2.40869325
FRANKLIN,66853,2.282734
GREENE,66857,2.7904715
INDEPENDENCE,69163,2.5555
JACKSON,66861,2.7770215
JEFFERSON,66862,3.27769775
JOHNSON,66863,2.3912755
LAFAYETTE,66864,2.8663295
LAWRENCE,66865,2.68818425
LEE,66866,3.30231125
LINCOLN,66873,3.163978
LOGAN,82850,2.64917925
LONOKE,69164,2.928872
MISSISSIPPI,69899,3.09249125
MONROE,69167,3.0998215
PHILLIPS,69172,3.27911
POINSETT,69174,3.277496
PRAIRIE,69176,3.192761
PULASKI,69177,2.47903675
RANDOLPH,69178,2.814278
SEBASTIAN,69181,3.23909625
WHITE,69906,2.51467925
WOODRUFF,69907,2.68791525
YELL,69908,2.85832675
ADAMS,424202,2.4630985
ALEXANDER,424203,3.39175375
BOND,424204,2.84568375
BOONE,424205,3.792362
BROWN,424206,3.86680775
BUREAU,424207,3.6243715
CALHOUN,424208,4.07568625
CARROLL,424209,3.56552775
CASS,424210,3.931166
CHAMPAIGN,424211,4.08913625
CHRISTIAN,424212,4.157395
CLARK,424213,4.13836325
CLAY,424214,3.788058
CLINTON,424215,3.75853525
COLES,424216,3.69653075
CRAWFORD,424218,3.8449515
CUMBERLAND,424219,3.722422
DE WITT,426598,3.63022225
DOUGLAS,424222,3.993036
EDGAR,424224,4.13338675
EDWARDS,424225,3.7155625
EFFINGHAM,424226,3.96727925
FAYETTE,424227,3.59256225
FORD,424228,3.82753375
FRANKLIN,424229,3.6023135
FULTON,424230,4.01798575
GALLATIN,424231,3.473059
GREENE,424232,3.94750775
GRUNDY,424233,3.611594
HAMILTON,424234,3.968019
HANCOCK,424235,3.81838775
HARDIN,424236,3.600027
HENDERSON,424237,3.86129325
HENRY,424238,3.0718455
IROQUOIS,424239,3.85066775
JACKSON,424240,4.09317125
JASPER,424241,3.936815
JEFFERSON,424242,3.26249925
JERSEY,424243,3.80426525
JO DAVIESS,424244,3.4177795
