STATEFP,COUNTYFP,COUNTYNS1,GEOID,NAME,yield
5,1,63755,5001,Arkansas,3.99465
5,3,63756,5003,Ashley,4.283825
5,7,69896,5007,Benton,3.7122
5,17,69160,5017,Chicot,2.959
5,29,66846,5029,Conway,2.212525
5,35,69162,5035,Crittenden,3.517175
5,37,66848,5037,Cross,3.584425
5,41,66850,5041,Desha,3.503725
5,43,66851,5043,Drew,3.94085
5,69,66862,5069,Jefferson,2.2327
5,77,66866,5077,Lee,3.1473
5,79,66873,5079,Lincoln,3.83325
5,83,82850,5083,Logan,3.597875
5,85,69164,5085,Lonoke,3.5777
5,95,69167,5095,Monroe,2.373925
5,107,69172,5107,Phillips,3.194375
5,111,69174,5111,Poinsett,3.032975
5,117,69176,5117,Prairie,3.9543
5,119,69177,5119,Pulaski,3.64495
5,145,69906,5145,White,3.732375
5,147,69907,5147,Woodruff,2.6093
5,149,69908,5149,Yell,3.490275
17,3,424203,17003,Alexander,3.08005
17,5,424204,17005,Bond,3.2549
17,7,424205,17007,Boone,2.56895
17,9,424206,17009,Brown,3.934125
17,11,424207,17011,Bureau,4.37125
17,15,424209,17015,Carroll,4.6537
17,17,424210,17017,Cass,3.99465
17,19,424211,17019,Champaign,4.4654
17,21,424212,17021,Christian,4.61335
17,23,424213,17023,Clark,4.5999
17,25,424214,17025,Clay,5.063925
17,27,424215,17027,Clinton,4.7882
17,31,1784766,17031,Cook,4.404875
17,33,424218,17033,Crawford,3.9812
17,39,426598,17039,De Witt,4.2771
17,45,424224,17045,Edgar,3.08005
17,47,424225,17047,Edwards,4.37125
17,49,424226,17049,Effingham,4.297275
17,51,424227,17051,Fayette,4.754575
17,53,424228,17053,Ford,4.7613
17,55,424229,17055,Franklin,4.243475
17,57,424230,17057,Fulton,4.351075
17,59,424231,17059,Gallatin,4.270375
17,63,424233,17063,Grundy,4.485575
17,67,424235,17067,Hancock,3.584425
17,69,424236,17069,Hardin,4.404875
17,71,424237,17071,Henderson,4.203125
17,73,424238,17073,Henry,4.001375
17,75,424239,17075,Iroquois,4.525925
17,77,424240,17077,Jackson,3.40285
17,81,424242,17081,Jefferson,4.47885
17,85,424244,17085,Jo Daviess,4.579725
17,87,424245,17087,Johnson,3.893775
17,89,424246,17089,Kane,3.355775
17,91,424247,17091,Kankakee,3.207825
17,93,424248,17093,Kendall,3.947575
17,95,424249,17095,Knox,2.94555
17,97,1784796,17097,Lake,4.552825
17,101,424252,17101,Lawrence,4.149325
17,103,424253,17103,Lee,4.458675
17,105,424254,17105,Livingston,4.5999
17,115,424256,17115,Macon,3.382675
17,117,424257,17117,Macoupin,4.0619
17,119,424258,17119,Madison,4.5461
17,121,424259,17121,Marion,4.4385
17,125,424261,17125,Mason,5.0034
17,127,1784730,17127,Massac,4.7613
17,113,1784833,17113,McLean,4.10225
17,129,424266,17129,Menard,4.041725
17,133,1784865,17133,Monroe,4.351075
17,139,1784885,17139,Moultrie,3.530625
17,141,1784894,17141,Ogle,4.53265
17,143,1784920,17143,Peoria,4.4654
17,145,1784940,17145,Perry,3.786175
17,147,424275,17147,Piatt,4.8689
17,153,1784966,17153,Pulaski,4.15605
17,155,424279,17155,Putnam,4.687325
17,157,1784967,17157,Randolph,3.5777
17,161,424282,17161,Rock Island,5.198425
17,165,424283,17165,Saline,3.8198
17,167,1785010,17167,Sangamon,4.18295
17,169,1785037,17169,Schuyler,3.718925
17,171,424286,17171,Scott,4.34435
17,173,1785051,17173,Shelby,3.9812
17,175,424288,17175,Stark,4.848725
17,177,1785076,17177,Stephenson,4.2502
17,179,1785094,17179,Tazewell,4.364525
17,181,1785113,17181,Union,4.525925
17,183,1785114,17183,Vermilion,4.714225
17,185,424293,17185,Wabash,4.337625
17,189,1785150,17189,Washington,4.7613
17,193,424297,17193,White,2.992625
17,195,1785167,17195,Whiteside,4.53265
17,197,1785190,17197,Will,4.0888
17,201,1785216,17201,Winnebago,3.947575
17,203,1785231,17203,Woodford,4.26365
18,3,450402,18003,Allen,4.50575
18,7,450403,18007,Benton,3.9274
18,9,450404,18009,Blackford,3.826525
18,11,450405,18011,Boone,4.579725
18,13,451684,18013,Brown,4.001375
18,19,450340,18019,Clark,4.068625
18,21,450341,18021,Clay,4.1964
18,23,450342,18023,Clinton,4.216575
18,27,450343,18027,Daviess,3.6584
18,29,450344,18029,Dearborn,3.40285
18,31,450345,18031,Decatur,3.947575
18,35,450347,18035,Delaware,4.135875
18,37,451675,18037,Dubois,4.58645
18,39,450348,18039,Elkhart,3.7391
18,41,450349,18041,Fayette,3.194375
18,47,450352,18047,Franklin,4.1426
18,49,450353,18049,Fulton,4.0888
